Date,Open,High,Low,Close,Adj Close,Volume
2015-03-16,2.700000,2.800000,2.600000,2.650000,2.650000,14420
2015-03-17,2.650000,2.650000,2.600000,2.600000,2.600000,4300
2015-03-18,2.650000,2.700000,2.550000,2.650000,2.650000,4940
2015-03-19,2.600000,2.700000,2.550000,2.600000,2.600000,16060
2015-03-20,2.550000,2.750000,2.550000,2.650000,2.650000,20700
2015-03-23,2.750000,2.750000,2.550000,2.700000,2.700000,7100
2015-03-24,2.650000,2.750000,2.650000,2.650000,2.650000,8000
2015-03-25,2.650000,2.650000,2.500000,2.500000,2.500000,40080
2015-03-26,2.500000,2.500000,2.400000,2.500000,2.500000,10860
2015-03-27,2.500000,2.550000,2.350000,2.400000,2.400000,23220
2015-03-30,2.450000,2.500000,2.350000,2.350000,2.350000,32900
2015-03-31,2.400000,2.500000,2.350000,2.500000,2.500000,17760
2015-04-01,2.550000,2.650000,2.400000,2.450000,2.450000,33780
2015-04-02,2.500000,2.750000,2.450000,2.650000,2.650000,65660
2015-04-06,2.700000,2.750000,2.600000,2.750000,2.750000,26780
2015-04-07,2.700000,2.750000,2.600000,2.750000,2.750000,35880
2015-04-08,2.750000,2.800000,2.650000,2.650000,2.650000,18700
2015-04-09,2.650000,2.750000,2.650000,2.650000,2.650000,40300
2015-04-10,2.700000,2.750000,2.700000,2.700000,2.700000,18600
2015-04-13,2.750000,2.800000,2.700000,2.750000,2.750000,19320
2015-04-14,2.800000,2.800000,2.700000,2.750000,2.750000,6880
2015-04-15,2.750000,2.800000,2.700000,2.800000,2.800000,14740
2015-04-16,2.700000,2.800000,2.700000,2.700000,2.700000,10000
2015-04-17,2.700000,2.800000,2.650000,2.700000,2.700000,16360
2015-04-20,2.800000,2.800000,2.700000,2.700000,2.700000,13760
2015-04-21,2.700000,2.750000,2.650000,2.700000,2.700000,8480
2015-04-22,2.700000,2.750000,2.650000,2.700000,2.700000,38500
2015-04-23,2.750000,2.800000,2.700000,2.750000,2.750000,7040
2015-04-24,2.750000,2.800000,2.700000,2.750000,2.750000,5760
2015-04-27,2.750000,2.800000,2.650000,2.750000,2.750000,14460
2015-04-28,2.750000,2.900000,2.750000,2.900000,2.900000,33060
2015-04-29,2.900000,2.950000,2.800000,2.800000,2.800000,19040
2015-04-30,2.800000,3.100000,2.800000,3.100000,3.100000,63760
